session_id,player_id,session_start,duration_sec,platform,country
s_00000099,p_000019,2024-01-07 15:33:00,1495,iOS,GB
s_00000100,p_000019,2024-01-07 20:13:00,387,iOS,GB
s_00000101,p_000019,2024-01-08 13:45:00,138,iOS,GB
s_00000102,p_000019,2024-01-08 16:25:00,502,iOS,GB
s_00000103,p_000019,2024-01-08 18:28:00,57,iOS,GB
s_00000104,p_000020,2024-01-19 23:28:00,399,iOS,CA
s_00000105,p_000020,2024-01-19 10:15:00,412,iOS,CA
s_00000106,p_000020,2024-01-19 14:04:00,173,iOS,CA
s_00000107,p_000020,2024-01-19 17:01:00,237,iOS,CA
s_00000108,p_000020,2024-01-19 14:37:00,268,iOS,CA
s_00000109,p_000020,2024-01-19 14:00:00,517,iOS,CA
s_00000110,p_000020,2024-01-19 09:45:00,332,iOS,CA
s_00000111,p_000021,2024-01-04 08:14:00,267,Android,US
s_00000112,p_000021,2024-01-04 09:57:00,717,Android,US
s_00000113,p_000021,2024-01-05 08:55:00,215,Android,US
s_00000114,p_000021,2024-01-06 17:04:00,283,Android,US
s_00000115,p_000021,2024-01-06 23:15:00,253,Android,US
s_00000116,p_000021,2024-01-07 15:42:00,110,Android,US
s_00000117,p_000021,2024-01-07 22:13:00,186,Android,US
s_00000118,p_000021,2024-01-07 11:46:00,80,Android,US
s_00000119,p_000021,2024-01-07 22:15:00,317,Android,US
s_00000120,p_000021,2024-01-08 22:51:00,300,Android,US
s_00000121,p_000021,2024-01-08 20:12:00,473,Android,US
s_00000122,p_000021,2024-01-08 10:06:00,348,Android,US
s_00000123,p_000021,2024-01-08 20:22:00,105,Android,US
s_00000124,p_000021,2024-01-08 20:26:00,173,Android,US
s_00000125,p_000021,2024-01-09 21:55:00,154,Android,US
s_00000126,p_000021,2024-01-09 08:43:00,498,Android,US
s_00000127,p_000021,2024-01-09 10:03:00,118,Android,US
s_00000128,p_000021,2024-01-09 19:46:00,135,Android,US
s_00000129,p_000022,2024-01-07 10:15:00,135,Android,JP
s_00000130,p_000022,2024-01-07 13:12:00,356,Android,JP
s_00000131,p_000022,2024-01-08 21:08:00,73,Android,JP
s_00000132,p_000022,2024-01-08 20:11:00,190,Android,JP
s_00000133,p_000022,2024-01-08 15:29:00,176,Android,JP
s_00000134,p_000022,2024-01-09 14:55:00,230,Android,JP
s_00000135,p_000022,2024-01-09 09:28:00,1227,Android,JP
s_00000136,p_000022,2024-01-09 10:03:00,163,Android,JP
s_00000137,p_000023,2024-01-10 07:05:00,393,Android,US
s_00000138,p_000023,2024-01-11 14:10:00,120,Android,US
s_00000139,p_000023,2024-01-12 20:31:00,285,Android,US
s_00000140,p_000023,2024-01-12 22:13:00,369,Android,US
s_00000141,p_000023,2024-01-12 19:57:00,1106,Android,US
s_00000142,p_000023,2024-01-13 08:10:00,179,Android,US
s_00000143,p_000023,2024-01-13 19:00:00,480,Android,US
s_00000144,p_000023,2024-01-13 19:16:00,347,Android,US
s_00000145,p_000023,2024-01-14 21:18:00,401,Android,US
s_00000146,p_000023,2024-01-14 20:44:00,142,Android,US
s_00000147,p_000023,2024-01-15 22:09:00,224,Android,US
s_00000148,p_000023,2024-01-15 13:18:00,273,Android,US
s_00000149,p_000023,2024-01-15 13:03:00,757,Android,US
s_00000150,p_000023,2024-01-15 08:47:00,199,Android,US
s_00000151,p_000023,2024-01-15 17:03:00,589,Android,US
s_00000152,p_000023,2024-01-15 08:37:00,449,Android,US
s_00000153,p_000024,2024-01-13 22:32:00,141,iOS,CN
s_00000154,p_000025,2024-01-31 23:10:00,215,Android,JP
s_00000155,p_000025,2024-01-31 08:32:00,336,Android,JP
s_00000156,p_000025,2024-01-31 09:54:00,396,Android,JP
s_00000157,p_000025,2024-01-31 12:04:00,334,Android,JP
s_00000158,p_000026,2024-01-05 09:43:00,399,iOS,DE
s_00000159,p_000026,2024-01-05 14:25:00,716,iOS,DE
s_00000160,p_000026,2024-01-06 10:56:00,82,iOS,DE
s_00000161,p_000026,2024-01-06 14:37:00,94,iOS,DE
s_00000162,p_000026,2024-01-07 08:39:00,1849,iOS,DE
s_00000163,p_000026,2024-01-07 09:26:00,132,iOS,DE
s_00000164,p_000026,2024-01-07 23:20:00,79,iOS,DE
s_00000165,p_000026,2024-01-08 15:13:00,308,iOS,DE
s_00000166,p_000026,2024-01-08 17:15:00,416,iOS,DE
s_00000167,p_000026,2024-01-08 15:25:00,97,iOS,DE
s_00000168,p_000026,2024-01-09 11:42:00,303,iOS,DE
s_00000169,p_000026,2024-01-09 16:29:00,474,iOS,DE
s_00000170,p_000026,2024-01-09 17:59:00,93,iOS,DE
s_00000171,p_000026,2024-01-09 09:00:00,219,iOS,DE
s_00000172,p_000027,2024-01-15 10:04:00,263,Android,JP
s_00000173,p_000027,2024-01-15 13:32:00,133,Android,JP
s_00000174,p_000027,2024-01-16 15:08:00,246,Android,JP
s_00000175,p_000027,2024-01-16 18:56:00,244,Android,JP
s_00000176,p_000027,2024-01-17 09:56:00,162,Android,JP
s_00000177,p_000027,2024-01-17 14:23:00,552,Android,JP
s_00000178,p_000027,2024-01-17 16:10:00,246,Android,JP
s_00000179,p_000027,2024-01-17 21:53:00,457,Android,JP
s_00000180,p_000027,2024-01-18 16:39:00,690,Android,JP
s_00000181,p_000028,2024-01-18 23:00:00,136,iOS,JP
s_00000182,p_000028,2024-01-18 16:59:00,126,iOS,JP
s_00000183,p_000028,2024-01-18 10:56:00,750,iOS,JP
s_00000184,p_000028,2024-01-18 11:16:00,503,iOS,JP
s_00000185,p_000028,2024-01-19 10:56:00,425,iOS,JP
s_00000186,p_000028,2024-01-20 10:47:00,133,iOS,JP
s_00000187,p_000028,2024-01-20 11:17:00,176,iOS,JP
s_00000188,p_000028,2024-01-20 16:38:00,212,iOS,JP
s_00000189,p_000028,2024-01-21 13:45:00,129,iOS,JP
s_00000190,p_000028,2024-01-21 17:13:00,77,iOS,JP
s_00000191,p_000028,2024-01-21 15:32:00,42,iOS,JP
s_00000192,p_000028,2024-01-21 22:16:00,633,iOS,JP
s_00000193,p_000028,2024-01-22 08:05:00,668,iOS,JP
s_00000194,p_000028,2024-01-22 20:53:00,102,iOS,JP
s_00000195,p_000028,2024-01-22 15:02:00,141,iOS,JP
s_00000196,p_000028,2024-01-23 07:21:00,88,iOS,JP
s_00000197,p_000029,2024-01-01 15:10:00,99,iOS,US
s_00000198,p_000029,2024-01-01 21:35:00,415,iOS,US
s_00000199,p_000029,2024-01-01 20:35:00,120,iOS,US
s_00000200,p_000029,2024-01-01 07:07:00,239,iOS,US
s_00000201,p_000029,2024-01-02 09:56:00,503,iOS,US
s_00000202,p_000029,2024-01-02 11:34:00,578,iOS,US
s_00000203,p_000029,2024-01-02 08:53:00,309,iOS,US
s_00000204,p_000029,2024-01-02 18:37:00,391,iOS,US
s_00000205,p_000030,2024-01-19 11:27:00,174,Android,DE
s_00000206,p_000030,2024-01-19 11:02:00,261,Android,DE
s_00000207,p_000031,2024-01-04 18:57:00,170,iOS,US
s_00000208,p_000031,2024-01-05 08:57:00,119,iOS,US
s_00000209,p_000031,2024-01-05 18:13:00,186,iOS,US
s_00000210,p_000031,2024-01-06 14:42:00,73,iOS,US
s_00000211,p_000031,2024-01-06 10:22:00,247,iOS,US
s_00000212,p_000032,2024-01-02 20:39:00,188,Android,JP
s_00000213,p_000032,2024-01-02 11:59:00,333,Android,JP
s_00000214,p_000032,2024-01-03 14:55:00,192,Android,JP
s_00000215,p_000032,2024-01-03 12:51:00,134,Android,JP
s_00000216,p_000032,2024-01-04 12:56:00,496,Android,JP
s_00000217,p_000032,2024-01-05 20:01:00,573,Android,JP
s_00000218,p_000032,2024-01-05 12:47:00,361,Android,JP
s_00000219,p_000032,2024-01-05 17:50:00,218,Android,JP
s_00000220,p_000032,2024-01-05 20:51:00,253,Android,JP
s_00000221,p_000032,2024-01-05 14:17:00,146,Android,JP
s_00000222,p_000032,2024-01-05 12:50:00,227,Android,JP
s_00000223,p_000032,2024-01-06 10:24:00,189,Android,JP
s_00000224,p_000032,2024-01-06 08:54:00,284,Android,JP
s_00000225,p_000032,2024-01-06 22:14:00,558,Android,JP
s_00000226,p_000033,2024-02-29 13:52:00,209,Android,KR
s_00000227,p_000033,2024-02-29 21:22:00,254,Android,KR
s_00000228,p_000033,2024-02-29 16:52:00,154,Android,KR
s_00000229,p_000034,2024-03-08 14:01:00,130,Android,CN
s_00000230,p_000034,2024-03-08 13:25:00,142,Android,CN
s_00000231,p_000034,2024-03-09 17:17:00,1280,Android,CN
s_00000232,p_000034,2024-03-09 09:49:00,476,Android,CN
s_00000233,p_000034,2024-03-09 15:22:00,89,Android,CN
s_00000234,p_000034,2024-03-09 23:25:00,206,Android,CN
s_00000235,p_000034,2024-03-09 17:01:00,269,Android,CN
s_00000236,p_000034,2024-03-10 10:56:00,1568,Android,CN
s_00000237,p_000034,2024-03-10 15:11:00,394,Android,CN
s_00000238,p_000034,2024-03-10 15:02:00,117,Android,CN
s_00000239,p_000034,2024-03-11 10:38:00,1080,Android,CN
s_00000240,p_000034,2024-03-11 20:22:00,127,Android,CN
s_00000241,p_000034,2024-03-11 17:27:00,368,Android,CN
s_00000242,p_000034,2024-03-11 23:07:00,639,Android,CN
s_00000243,p_000034,2024-03-12 19:57:00,200,Android,CN
s_00000244,p_000034,2024-03-12 13:16:00,85,Android,CN
s_00000245,p_000034,2024-03-13 08:45:00,281,Android,CN
s_00000246,p_000034,2024-03-13 20:00:00,265,Android,CN
s_00000247,p_000034,2024-03-13 23:59:00,179,Android,CN
s_00000248,p_000034,2024-03-14 13:23:00,353,Android,CN
s_00000249,p_000034,2024-03-14 20:04:00,1077,Android,CN
s_00000250,p_000034,2024-03-14 17:39:00,382,Android,CN
s_00000251,p_000034,2024-03-15 17:42:00,386,Android,CN
s_00000252,p_000034,2024-03-15 10:46:00,1173,Android,CN
s_00000253,p_000034,2024-03-16 16:32:00,173,Android,CN
s_00000254,p_000034,2024-03-17 16:42:00,40,Android,CN
s_00000255,p_000034,2024-03-17 20:20:00,144,Android,CN
s_00000256,p_000034,2024-03-18 19:44:00,518,Android,CN
s_00000257,p_000034,2024-03-18 16:35:00,390,Android,CN
s_00000258,p_000034,2024-03-18 11:12:00,208,Android,CN
s_00000259,p_000034,2024-03-19 20:42:00,228,Android,CN
s_00000260,p_000034,2024-03-19 19:43:00,546,Android,CN
s_00000261,p_000034,2024-03-19 12:39:00,114,Android,CN
s_00000262,p_000035,2024-02-03 16:25:00,240,iOS,KR
s_00000263,p_000035,2024-02-03 07:19:00,817,iOS,KR
s_00000264,p_000035,2024-02-03 16:13:00,538,iOS,KR
s_00000265,p_000036,2024-01-08 20:50:00,67,iOS,GB
s_00000266,p_000036,2024-01-08 17:29:00,203,iOS,GB
s_00000267,p_000036,2024-01-08 21:28:00,246,iOS,GB
s_00000268,p_000036,2024-01-08 13:32:00,379,iOS,GB
s_00000269,p_000037,2024-01-03 22:50:00,285,Android,US
s_00000270,p_000038,2024-01-24 12:42:00,141,iOS,CA
s_00000271,p_000038,2024-01-24 09:18:00,97,iOS,CA
s_00000272,p_000039,2024-01-12 23:42:00,117,iOS,CN
s_00000273,p_000039,2024-01-12 17:05:00,787,iOS,CN
s_00000274,p_000039,2024-01-12 14:43:00,180,iOS,CN
s_00000275,p_000039,2024-01-12 16:14:00,461,iOS,CN
s_00000276,p_000039,2024-01-12 13:09:00,338,iOS,CN
s_00000277,p_000040,2024-01-03 08:15:00,145,Android,CN
s_00000278,p_000040,2024-01-03 22:39:00,251,Android,CN
s_00000279,p_000040,2024-01-03 09:29:00,64,Android,CN
s_00000280,p_000040,2024-01-03 20:56:00,191,Android,CN
s_00000281,p_000040,2024-01-03 13:45:00,121,Android,CN
s_00000282,p_000041,2024-01-14 19:31:00,145,Android,DE
s_00000283,p_000041,2024-01-14 19:15:00,152,Android,DE
s_00000284,p_000041,2024-01-14 11:41:00,942,Android,DE
s_00000285,p_000042,2024-01-01 07:57:00,161,iOS,KR
s_00000286,p_000042,2024-01-02 10:49:00,199,iOS,KR
s_00000287,p_000042,2024-01-02 20:14:00,370,iOS,KR
s_00000288,p_000042,2024-01-03 12:51:00,148,iOS,KR
s_00000289,p_000042,2024-01-04 23:29:00,208,iOS,KR
s_00000290,p_000042,2024-01-04 08:35:00,85,iOS,KR
s_00000291,p_000042,2024-01-04 14:58:00,210,iOS,KR
s_00000292,p_000042,2024-01-04 10:29:00,94,iOS,KR
s_00000293,p_000042,2024-01-04 11:51:00,549,iOS,KR
s_00000294,p_000042,2024-01-05 21:42:00,103,iOS,KR
s_00000295,p_000042,2024-01-06 23:35:00,231,iOS,KR
s_00000296,p_000043,2024-02-18 17:48:00,124,Android,US
s_00000297,p_000043,2024-02-18 21:39:00,241,Android,US
s_00000298,p_000043,2024-02-18 23:27:00,663,Android,US
s_00000299,p_000044,2024-01-06 21:57:00,105,Android,CN
s_00000300,p_000044,2024-01-06 12:47:00,1134,Android,CN
s_00000301,p_000045,2024-01-22 22:28:00,516,Android,CA
s_00000302,p_000046,2024-01-08 15:48:00,253,iOS,FR
s_00000303,p_000046,2024-01-08 14:53:00,295,iOS,FR
s_00000304,p_000047,2024-01-15 15:49:00,97,iOS,DE
s_00000305,p_000047,2024-01-15 23:31:00,143,iOS,DE
s_00000306,p_000047,2024-01-16 14:17:00,174,iOS,DE
s_00000307,p_000047,2024-01-17 21:04:00,253,iOS,DE
s_00000308,p_000047,2024-01-18 16:15:00,112,iOS,DE
s_00000309,p_000047,2024-01-18 15:21:00,365,iOS,DE
s_00000310,p_000047,2024-01-18 17:57:00,222,iOS,DE
s_00000311,p_000047,2024-01-19 09:08:00,53,iOS,DE
s_00000312,p_000047,2024-01-19 11:14:00,391,iOS,DE
s_00000313,p_000047,2024-01-19 19:44:00,297,iOS,DE
s_00000314,p_000047,2024-01-19 11:45:00,147,iOS,DE
s_00000315,p_000047,2024-01-20 13:04:00,138,iOS,DE
s_00000316,p_000048,2024-01-16 20:26:00,285,Android,KR
s_00000317,p_000048,2024-01-16 17:34:00,185,Android,KR
s_00000318,p_000048,2024-01-16 21:26:00,69,Android,KR
s_00000319,p_000049,2024-01-05 13:53:00,260,Android,BR
s_00000320,p_000049,2024-01-05 20:24:00,149,Android,BR
s_00000321,p_000050,2024-03-10 19:30:00,112,iOS,JP
s_00000322,p_000050,2024-03-10 07:22:00,277,iOS,JP
s_00000323,p_000050,2024-03-10 16:48:00,365,iOS,JP
s_00000324,p_000050,2024-03-10 19:54:00,137,iOS,JP
s_00000325,p_000050,2024-03-10 20:34:00,297,iOS,JP
s_00000326,p_000050,2024-03-11 14:31:00,2899,iOS,JP
s_00000327,p_000050,2024-03-11 14:17:00,42,iOS,JP
s_00000328,p_000050,2024-03-12 20:31:00,100,iOS,JP
s_00000329,p_000050,2024-03-12 07:24:00,79,iOS,JP
s_00000330,p_000050,2024-03-12 17:42:00,143,iOS,JP
s_00000331,p_000050,2024-03-12 19:46:00,306,iOS,JP
s_00000332,p_000050,2024-03-12 12:53:00,163,iOS,JP
s_00000333,p_000050,2024-03-13 21:58:00,258,iOS,JP
s_00000334,p_000050,2024-03-13 11:39:00,178,iOS,JP
s_00000335,p_000050,2024-03-13 07:58:00,60,iOS,JP
s_00000336,p_000050,2024-03-13 19:37:00,118,iOS,JP
s_00000337,p_000050,2024-03-14 07:05:00,58,iOS,JP
s_00000338,p_000051,2024-01-30 20:08:00,238,Android,US
s_00000339,p_000051,2024-01-30 21:11:00,62,Android,US
s_00000340,p_000051,2024-01-30 08:16:00,2822,Android,US
s_00000341,p_000052,2024-02-26 19:20:00,157,iOS,DE
s_00000342,p_000053,2024-02-15 21:20:00,472,Android,CA
s_00000343,p_000053,2024-02-16 17:48:00,197,Android,CA
s_00000344,p_000053,2024-02-16 19:17:00,470,Android,CA
s_00000345,p_000053,2024-02-16 20:16:00,369,Android,CA
s_00000346,p_000054,2024-01-19 09:30:00,1036,Android,JP
s_00000347,p_000054,2024-01-19 07:47:00,386,Android,JP
s_00000348,p_000055,2024-02-20 08:22:00,682,Android,US
s_00000349,p_000055,2024-02-20 14:41:00,73,Android,US
s_00000350,p_000056,2024-01-02 09:49:00,140,Android,BR
s_00000351,p_000056,2024-01-02 08:48:00,39,Android,BR
s_00000352,p_000056,2024-01-02 07:15:00,175,Android,BR
s_00000353,p_000056,2024-01-02 13:53:00,444,Android,BR
s_00000354,p_000056,2024-01-02 07:39:00,38,Android,BR
s_00000355,p_000057,2024-01-05 11:15:00,167,iOS,US
s_00000356,p_000057,2024-01-05 11:30:00,642,iOS,US
s_00000357,p_000057,2024-01-05 10:36:00,1387,iOS,US
s_00000358,p_000057,2024-01-05 13:29:00,124,iOS,US
s_00000359,p_000058,2024-01-01 15:49:00,249,iOS,JP
s_00000360,p_000058,2024-01-01 18:10:00,967,iOS,JP
s_00000361,p_000059,2024-01-08 10:49:00,79,iOS,GB
s_00000362,p_000059,2024-01-08 12:19:00,135,iOS,GB
s_00000363,p_000059,2024-01-08 10:37:00,138,iOS,GB
s_00000364,p_000060,2024-01-10 07:59:00,77,iOS,DE
s_00000365,p_000060,2024-01-10 16:36:00,836,iOS,DE
s_00000366,p_000060,2024-01-10 19:25:00,210,iOS,DE
s_00000367,p_000060,2024-01-10 13:04:00,207,iOS,DE
s_00000368,p_000060,2024-01-10 14:06:00,954,iOS,DE
s_00000369,p_000060,2024-01-10 16:54:00,111,iOS,DE
s_00000370,p_000061,2024-01-07 10:50:00,153,iOS,US
s_00000371,p_000061,2024-01-07 08:22:00,345,iOS,US
s_00000372,p_000062,2024-02-05 20:42:00,248,Android,BR
s_00000373,p_000063,2024-01-09 18:04:00,452,iOS,GB
s_00000374,p_000063,2024-01-09 23:41:00,141,iOS,GB
s_00000375,p_000064,2024-01-07 17:00:00,387,Android,FR
s_00000376,p_000065,2024-01-16 22:06:00,153,iOS,US
s_00000377,p_000065,2024-01-17 20:23:00,456,iOS,US
s_00000378,p_000065,2024-01-17 21:45:00,168,iOS,US
s_00000379,p_000065,2024-01-17 11:27:00,391,iOS,US
s_00000380,p_000065,2024-01-17 12:46:00,734,iOS,US
s_00000381,p_000065,2024-01-18 23:41:00,362,iOS,US
s_00000382,p_000065,2024-01-18 15:39:00,202,iOS,US
s_00000383,p_000065,2024-01-19 22:29:00,1013,iOS,US
s_00000384,p_000065,2024-01-20 20:52:00,35,iOS,US
s_00000385,p_000065,2024-01-20 15:20:00,268,iOS,US
s_00000386,p_000065,2024-01-20 14:53:00,264,iOS,US
s_00000387,p_000065,2024-01-20 09:17:00,788,iOS,US
s_00000388,p_000065,2024-01-20 21:15:00,889,iOS,US
s_00000389,p_000065,2024-01-20 21:36:00,661,iOS,US
s_00000390,p_000065,2024-01-21 19:21:00,102,iOS,US
s_00000391,p_000065,2024-01-21 07:31:00,139,iOS,US
s_00000392,p_000065,2024-01-21 17:11:00,213,iOS,US
s_00000393,p_000065,2024-01-21 22:13:00,156,iOS,US
s_00000394,p_000065,2024-01-22 18:51:00,253,iOS,US
s_00000395,p_000065,2024-01-22 15:21:00,272,iOS,US
s_00000396,p_000065,2024-01-22 15:56:00,104,iOS,US
s_00000397,p_000065,2024-01-22 15:35:00,252,iOS,US
s_00000398,p_000065,2024-01-23 07:33:00,293,iOS,US
s_00000399,p_000065,2024-01-23 13:05:00,72,iOS,US
s_00000400,p_000065,2024-01-23 14:46:00,518,iOS,US
s_00000401,p_000065,2024-01-24 20:31:00,142,iOS,US
s_00000402,p_000065,2024-01-24 14:44:00,77,iOS,US
s_00000403,p_000065,2024-01-24 22:41:00,276,iOS,US
s_00000404,p_000065,2024-01-24 22:28:00,189,iOS,US
s_00000405,p_000065,2024-01-25 07:05:00,125,iOS,US
s_00000406,p_000065,2024-01-25 16:14:00,109,iOS,US
s_00000407,p_000065,2024-01-26 19:44:00,69,iOS,US
s_00000408,p_000065,2024-01-26 14:19:00,87,iOS,US
s_00000409,p_000065,2024-01-27 18:30:00,408,iOS,US
s_00000410,p_000065,2024-01-27 23:22:00,133,iOS,US
s_00000411,p_000065,2024-01-27 20:47:00,168,iOS,US
s_00000412,p_000065,2024-01-27 17:22:00,780,iOS,US
s_00000413,p_000065,2024-01-27 21:17:00,180,iOS,US
s_00000414,p_000065,2024-01-27 16:16:00,1882,iOS,US
s_00000415,p_000065,2024-01-27 14:07:00,292,iOS,US
s_00000416,p_000065,2024-01-28 13:20:00,194,iOS,US
s_00000417,p_000065,2024-01-28 10:47:00,603,iOS,US
s_00000418,p_000065,2024-01-28 12:12:00,268,iOS,US
s_00000419,p_000065,2024-01-28 13:47:00,147,iOS,US
s_00000420,p_000065,2024-01-29 22:17:00,634,iOS,US
s_00000421,p_000065,2024-01-29 23:38:00,109,iOS,US
s_00000422,p_000065,2024-01-29 16:06:00,598,iOS,US
s_00000423,p_000065,2024-01-29 13:18:00,197,iOS,US
s_00000424,p_000065,2024-01-29 14:23:00,138,iOS,US
s_00000425,p_000065,2024-01-30 12:19:00,1116,iOS,US
s_00000426,p_000065,2024-01-30 07:45:00,457,iOS,US
s_00000427,p_000065,2024-01-30 11:17:00,173,iOS,US
s_00000428,p_000065,2024-01-30 08:03:00,339,iOS,US
s_00000429,p_000065,2024-01-30 16:44:00,280,iOS,US
s_00000430,p_000065,2024-01-31 11:40:00,340,iOS,US
s_00000431,p_000065,2024-01-31 22:06:00,787,iOS,US
